data_pregao,contrato,janela_inicio,janela_fim,ajuste,n_negocios,volume,valor_total,min_ts,max_ts,fonte
2026-08-13,WINV26,17:00:00,17:15:00,,0,0,0.0,,,RAW20260813_WINV26
2026-08-14,WINV26,17:00:00,17:15:00,169929.4323660192,62826,256380,43566507870.0,2026-08-14 17:00:00.004,2026-08-14 17:15:00.969,RAW20260814_WINV26
2026-08-17,WINV26,17:00:00,17:15:00,169848.81578733525,45352,184591,31352562755.0,2026-08-17 17:00:00.003,2026-08-17 17:15:00.999,RAW20260817_WINV26
2026-08-18,WINV26,17:00:00,17:15:00,,0,0,0.0,,,RAW20260818_WINV26
2026-08-19,WINV26,17:00:00,17:15:00,,0,0,0.0,,,RAW20260819_WINV26
2026-08-20,WINV26,17:00:00,17:15:00,,0,0,0.0,,,RAW20260820_WINV26
2026-08-13,WDOU26,15:50:00,16:00:00,,0,0,0.0,,,RAW20260813_WDOU26
2026-08-14,WDOU26,15:50:00,16:00:00,5245.8650604142695,7624,34760,182346269.5,2026-08-14 15:50:00.001,2026-08-14 16:00:00.315,RAW20260814_WDOU26
2026-08-17,WDOU26,15:50:00,16:00:00,5217.083976915896,5949,23566,122945801.0,2026-08-17 15:50:00.002,2026-08-17 16:00:00.549,RAW20260817_WDOU26
2026-08-18,WDOU26,15:50:00,16:00:00,,0,0,0.0,,,RAW20260818_WDOU26
2026-08-19,WDOU26,15:50:00,16:00:00,,0,0,0.0,,,RAW20260819_WDOU26
2026-08-20,WDOU26,15:50:00,16:00:00,,0,0,0.0,,,RAW20260820_WDOU26
